t;x;y;
0.000000E0;1.608160E−2;2.649282E−1
1.666672E−2;1.394296E−2;2.690262E−1
3.333345E−2;1.597407E−2;2.711290E−1
5.000017E−2;2.700021E−2;2.690254E−1
6.666690E−2;3.960875E−2;2.663681E−1
8.333362E−2;5.377019E−2;2.633460E−1
1.000003E−1;6.913853E−2;2.598402E−1
1.166671E−1;8.629117E−2;2.556904E−1
1.333338E−1;1.053418E−1;2.507303E−1
1.500005E−1;1.280195E−1;2.482611E−1
1.666672E−1;1.505906E−1;2.413819E−1
1.833340E−1;1.745121E−1;2.327238E−1
2.000007E−1;2.017845E−1;2.228083E−1
2.166674E−1;2.308648E−1;2.098525E−1
2.333341E−1;2.626023E−1;1.962484E−1
2.500009E−1;2.971276E−1;1.805102E−1
2.666676E−1;3.300192E−1;1.649260E−1
2.833343E−1;3.708577E−1;1.488440E−1
3.000010E−1;4.277753E−1;1.314724E−1
3.166678E−1;4.739536E−1;1.292571E−1
3.333345E−1;5.195167E−1;1.354256E−1
3.500012E−1;5.474075E−1;1.480200E−1
3.666679E−1;5.926654E−1;1.612102E−1
3.833347E−1;6.256649E−1;1.659176E−1
4.000014E−1;6.611366E−1;1.741812E−1
4.166681E−1;6.961546E−1;1.813675E−1
4.333348E−1;7.294841E−1;1.879255E−1
4.500016E−1;7.615819E−1;1.972206E−1
4.666683E−1;7.946173E−1;1.998610E−1
4.833350E−1;8.240296E−1;2.024819E−1
5.000017E−1;8.532733E−1;2.032030E−1
5.166684E−1;8.827871E−1;2.014061E−1
5.333352E−1;9.126151E−1;1.971137E−1
5.500019E−1;9.458273E−1;1.838750E−1
5.666686E−1;9.787450E−1;1.740922E−1
5.833353E−1;1.005984E0;1.725128E−1
6.000021E−1;1.041869E0;1.651020E−1
6.166688E−1;1.079023E0;1.586220E−1
6.333355E−1;1.118029E0;1.496449E−1
6.500022E−1;1.157825E0;1.450763E−1
6.666690E−1;1.196806E0;1.434466E−1
6.833357E−1;1.235641E0;1.434482E−1
7.000024E−1;1.274508E0;1.434553E−1
7.166691E−1;1.320698E0;1.469566E−1
