t;x;y;
0.000000E0;−1.460837E−2;2.616454E−1
1.666667E−2;−1.467429E−2;2.618048E−1
3.333333E−2;−1.470066E−2;2.617781E−1
5.000000E−2;−1.465572E−2;2.617975E−1
6.666667E−2;−1.466137E−2;2.618165E−1
8.333333E−2;−1.466500E−2;2.617794E−1
1.000000E−1;−1.454767E−2;2.617661E−1
1.166667E−1;−2.233926E−3;2.578553E−1
1.333333E−1;5.749973E−3;2.561571E−1
1.500000E−1;1.497167E−2;2.543616E−1
1.666667E−1;2.550026E−2;2.518907E−1
1.833333E−1;3.710888E−2;2.496806E−1
2.000000E−1;5.021241E−2;2.470331E−1
2.166667E−1;6.413961E−2;2.440219E−1
2.333333E−1;8.017298E−2;2.403440E−1
2.500000E−1;9.839577E−2;2.361322E−1
2.666667E−1;1.175562E−1;2.309535E−1
2.833333E−1;1.392736E−1;2.249583E−1
3.000000E−1;1.631665E−1;2.175174E−1
3.166667E−1;1.829309E−1;2.194142E−1
3.333333E−1;2.121225E−1;1.976146E−1
3.500000E−1;2.432776E−1;1.845931E−1
3.666667E−1;2.763204E−1;1.701406E−1
3.833333E−1;3.128018E−1;1.543685E−1
4.000000E−1;3.521765E−1;1.380407E−1
4.166667E−1;3.961453E−1;1.223012E−1
4.333333E−1;4.432460E−1;1.214101E−1
4.500000E−1;4.886702E−1;1.243240E−1
4.666667E−1;5.334492E−1;1.333487E−1
4.833333E−1;5.799045E−1;1.411389E−1
5.000000E−1;6.183851E−1;1.505551E−1
5.166667E−1;6.547269E−1;1.590059E−1
5.333333E−1;6.906707E−1;1.669641E−1
5.500000E−1;7.235661E−1;1.739976E−1
5.666667E−1;7.487416E−1;1.841734E−1
5.833333E−1;7.808862E−1;1.885339E−1
6.000000E−1;8.110454E−1;1.923690E−1
6.166667E−1;8.407609E−1;1.939085E−1
6.333333E−1;8.698855E−1;1.930397E−1
6.500000E−1;8.991968E−1;1.897912E−1
6.666667E−1;9.287976E−1;1.826039E−1
6.833333E−1;9.614299E−1;1.741001E−1
7.000000E−1;9.940151E−1;1.649695E−1
7.166667E−1;1.028927E0;1.573863E−1
7.333333E−1;1.064995E0;1.510573E−1
7.500000E−1;1.102538E0;1.453848E−1
7.666667E−1;1.142029E0;1.411527E−1
7.833333E−1;1.179725E0;1.388833E−1
8.000000E−1;1.218477E0;1.389144E−1
8.166667E−1;1.257219E0;1.390136E−1
8.333333E−1;1.293688E0;1.380863E−1
